category,trial,item1,item2,item3,choice,rt
1,1,3,23,18,23.0,7.5970750503613935
1,1,3,23,16,16.0,7.228097879272116
1,1,3,23,11,3.0,8.170989632791043
1,1,3,23,4,4.0,8.220552025128953
1,2,26,1,18,26.0,3.3698744439508115
1,2,26,1,19,26.0,4.606525291807115
1,2,26,1,14,14.0,4.403506015663746
1,2,26,1,27,26.0,4.72031369790668
2,1,52,48,37,48.0,5.929525728825043
2,1,52,48,45,48.0,5.116603863640105
2,1,52,48,51,52.0,6.114779679294414
2,1,52,48,47,48.0,6.920534853075784
2,2,35,32,31,32.0,7.332288095121541
2,2,35,32,57,57.0,7.006848509395828
2,2,35,32,43,35.0,8.03403479231554
2,2,35,32,39,32.0,8.133932328898656
3,1,76,82,62,82.0,6.77141678432953
3,1,76,82,81,82.0,6.760037094609577
3,1,76,82,84,82.0,7.6415841511718146
3,1,76,82,86,86.0,7.776797335614393
3,2,68,79,78,79.0,5.966677303848457
3,2,68,79,90,68.0,6.207894291534362
3,2,68,79,72,79.0,7.3512555044523324
3,2,68,79,86,79.0,7.4359832122933565
4,1,105,114,115,114.0,5.764815734286163
4,1,105,114,117,105.0,5.362933068412991
4,1,105,114,120,120.0,6.368904585307191
4,1,105,114,110,110.0,6.316412272721086
4,2,108,119,115,119.0,4.565264485590347
4,2,108,119,93,119.0,4.775979421471087
4,2,108,119,96,96.0,5.3082234009178375
4,2,108,119,100,108.0,5.633454590232936
5,1,145,129,148,145.0,5.28684385563575
5,1,145,129,127,145.0,5.253108900190503
5,1,145,129,138,145.0,6.031768103092652
5,1,145,129,144,144.0,5.962673496303276
5,2,142,136,148,142.0,3.9456413074565555
5,2,142,136,141,142.0,4.539392970739161
5,2,142,136,143,142.0,4.9315046657311346
5,2,142,136,144,142.0,4.586392864942353
