category,trial,item1,item2,item3,choice,rt
1,1,26,23,18,26.0,
1,1,26,23,7,26.0,
1,1,26,23,11,26.0,
1,1,26,23,4,26.0,
1,2,24,23,18,23.0,
1,2,24,23,30,24.0,
1,2,24,23,14,24.0,
1,2,24,23,28,23.0,
2,1,50,35,37,35.0,
2,1,50,35,57,50.0,
2,1,50,35,53,35.0,
2,1,50,35,47,47.0,
2,2,35,54,59,54.0,
2,2,35,54,38,54.0,
2,2,35,54,53,54.0,
2,2,35,54,39,54.0,
3,1,74,68,62,74.0,
3,1,74,68,81,74.0,
3,1,74,68,69,68.0,
3,1,74,68,71,71.0,
3,2,74,79,78,74.0,
3,2,74,79,81,74.0,
3,2,74,79,84,79.0,
3,2,74,79,86,86.0,
4,1,114,106,102,114.0,
4,1,114,106,98,114.0,
4,1,114,106,101,106.0,
4,1,114,106,100,114.0,
4,2,91,108,102,91.0,
4,2,91,108,117,91.0,
4,2,91,108,96,108.0,
4,2,91,108,116,91.0,
5,1,140,129,150,140.0,
5,1,140,129,127,140.0,
5,1,140,129,125,129.0,
5,1,140,129,135,129.0,
5,2,129,145,150,129.0,
5,2,129,145,127,145.0,
5,2,129,145,125,129.0,
5,2,129,145,135,145.0,
