category,trial,item1,item2,item3,choice,rt
1,1,22,2,18,,
1,1,22,2,30,,
1,1,22,2,6,,
1,1,22,2,8,,
1,2,22,23,18,,
1,2,22,23,16,,
1,2,22,23,6,,
1,2,22,23,29,,
2,1,52,33,31,,
2,1,52,33,60,,
2,1,52,33,53,,
2,1,52,33,39,,
2,2,54,46,31,,
2,2,54,46,38,,
2,2,54,46,56,,
2,2,54,46,47,,
3,1,79,80,78,,
3,1,79,80,81,,
3,1,79,80,61,,
3,1,79,80,71,,
3,2,85,77,78,,
3,2,85,77,81,,
3,2,85,77,84,,
3,2,85,77,86,,
4,1,113,114,115,,
4,1,113,114,92,,
4,1,113,114,95,,
4,1,113,114,116,,
4,2,106,111,97,,
4,2,106,111,93,,
4,2,106,111,107,,
4,2,106,111,118,,
5,1,130,121,148,,
5,1,130,121,122,,
5,1,130,121,146,,
5,1,130,121,123,,
5,2,121,145,148,,
5,2,121,145,122,,
5,2,121,145,137,,
5,2,121,145,123,,
